lap_time_sec,session_code,compound_key,tyre_life,lap_number_norm,stint,track_status_code,is_fresh_tyre,position,ambient_temp_c,wind_kph,fuel_load_kg,traffic_penalty_sec,track_length_km,track_corners,track_drs_zones,track_lap_count,fuel_sensitivity,fuel_burn_per_lap,tyre_stress,overtaking_risk,dirty_air_penalty,track_evolution,braking_harvest,traction_demand,high_speed_bias,straightline_demand,nominal_temp_c,team_one_lap_delta,team_race_pace_delta,team_tyre_management,team_energy_efficiency,team_drag_efficiency,team_traction,team_high_speed,team_dirty_air_resilience,team_reliability,team_development_trend
76.003,Q,soft,2.0,0.034482758620689655,1.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
75.912,Q,soft,5.0,0.08620689655172414,2.0,1.0,0.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
75.415,Q,soft,5.0,0.22413793103448276,5.0,1.0,0.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
75.921,Q,soft,2.0,0.27586206896551724,6.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
75.096,Q,soft,2.0,0.3275862068965517,7.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
76.157,Q,soft,2.0,0.034482758620689655,1.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
76.062,Q,soft,5.0,0.08620689655172414,2.0,1.0,0.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
75.468,Q,soft,2.0,0.15517241379310345,4.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
76.147,Q,soft,2.0,0.2413793103448276,6.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
75.18,Q,soft,2.0,0.29310344827586204,7.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,-0.12,-0.1,0.84,0.8,0.79,0.86,0.79,0.85,0.83,0.06
76.018,Q,soft,2.0,0.034482758620689655,1.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.32,0.36,0.66,0.73,0.76,0.63,0.77,0.67,0.77,0.01
